# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-time.cd615b1b0ba1619c-cgu.07____________     0    76     0   274     0   109     0   242     0   852     0    88     0   226     0   418     0  2270    37.6     3.5    34.1     0.0
CGU-time.cd615b1b0ba1619c-cgu.08____________     0    68     2   229     2   109     6   417    20   717    22   158     0   161     2   362    10  2249    32.6     3.7    28.9     0.0
CGU-time.cd615b1b0ba1619c-cgu.09____________     0    62     0   294     0   129     0   464     0   850     0    46     0   198     0   369     0  2242    37.7     3.2    34.5     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.00______     0    85     0   633     0  1695     0  3926     0  5362     0  1129     0   445     0  1890     0  8947    92.0    19.6    72.4     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.01______     1    48     5   748     7   216     6   830     3  2594    16   545     0   444     8   892    10  7466    53.6     6.6    47.0     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.02______     2    90     1   549     1   225     2   645     1  2175     3   428     0   458     0   919     2  5564    47.1     6.2    40.9     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.03______     0    21     0   369     0   380     0  1560     0  2084     0   689     0   165     0   648     0  5339    37.6     5.9    31.7     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.04______     2    46     1   397     1   105     2   550     1  1706     3   541     0   305     0   642     2  4952    42.9     3.6    39.4     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.05______     0   118     2   467     2   255     6   566    20  1644    22   276     0   277     2   730    10  4387    37.4     6.7    30.6     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.06______     0    41     0   344     0   669     0  1448     0  1992     0   298     0   211     0   711     0  3600    30.6     7.3    23.3     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.07______     0    40     0   332     0   357     0   910     0  1334     0   319     0   206     0   451     0  3600    27.7     6.1    21.6     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.08______     0    82     2   364     2   195     4   501    11  1285    12   259     0   241     3   594     6  3598    24.1     4.8    19.4     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.09______     0    49     1   245    10   472    27  1081    70  1535    79   439    14   161     9   552    27  3597    32.1     7.3    24.7     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.10______     0    71     3   323     9   844     5  1607    11  2163    29   310     8   298     2   806    14  3596    35.5     9.4    26.1     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.11______     0    84     5   349     5   336     5  1106    23  1757    33   272     7   170     0   719    19  3594    43.9     6.7    37.3     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.12______     0    50    10   396    10   214    13   778    19  1652    39   185     3   361     1   637    25  3594    39.2     5.1    34.1     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.13______     0    56     1   323     4   372    20  1023    39  1551    52   314    12   192     4   588    16  3593    42.3     7.2    35.1     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.14______     0    91     0   344     0   465     0   892     0  1484     0   296     0   189     0   648     0  3592    47.9     9.0    38.8     0.0
CGU-serde_json.1e5835de9dbc2714-cgu.15______     1    65    10   353    13   200    28   620    86  1626   104   253     4   274     9   671    48  3591    45.4     7.4    38.0     0.0
CGU-lazy_static.63d5c1698ce43ec0-cgu.0______     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2.4     0.2     2.2     0.0
